Category,Sub-Category,Product 1,Product 2,Product 3,Product 4,Product 5,Product 6,Product 7,Product 8,Product 9,Product 10,Product 11,Product 12,Product 13,Product 14
Meat,Fresh Poultry,Empire Kosher Ground Turkey,,,,,,,,,,,,,
Fish,Fresh Seafood,GreenWise Keta Salmon Fillet,Salmon Fillet,,,,,,,,,,,,
Produce,Fresh Vegetables,Baby Carrots,Beefsteak Tomatoes,Broccoli Crowns,Fresh Trimmed Green Beans,Green Beans,Medley Potatoes,Mini Cucumbers,"Multi-Color Peppers, 3-Pack",Red Onion,Red Onions,Ruby Sensation Potato Nibbles,Tomatoes on the Vine,Yellow Squash,Zucchini
Produce,Fresh-Cut Fruit,Pineapple & Watermelon Spears,Seedless Watermelon Wedge,,,,,,,,,,,,
Frozen,Frozen Breakfast,Van's Gluten Free Blueberry Waffles,,,,,,,,,,,,,
NA,Frozen Desserts,Klondike Double Chocolate Bar,"Yasso Greek Yogurt Bars, Coffee Chocolate Chip","Yasso Greek Yogurt Bars, Mint Chocolate Chip",,,,,,,,,,,
Meat,Frozen Meat,Applegate Chicken & Maple Breakfast Sausage,,,,,,,,,,,,,
Frozen Food,Frozen Pizza,Cauliflower Crust Pizza,,,,,,,,,,,,,
Frozen Food,Frozen Vegetables,Birds Eye Steamfresh Sweet Peas,,,,,,,,,,,,,
Self Care,Hair Care,Honest Company Conditioning Detangler,,,,,,,,,,,,,
Home Improvement,Home Improvement,Command Heavy Duty Picture Hangers,,,,,,,,,,,,,
Meat,Hot Dogs & Sausages,Hebrew National Beef Franks,,,,,,,,,,,,,
"Toiletries, Cleaning and Disposables",Household Cleaners,Weiman Granite & Stone Cleaner & Polish,,,,,,,,,,,,,
Pantry,Jarred Vegetables,Fire Roasted Red Peppers,,,,,,,,,,,,,
Torah,Judaica,Yehuda Sabbath Candles,,,,,,,,,,,,,
Pantry,Macaroni & Cheese,Annie's Gluten-Free Deluxe Shells & Cheddar,Banza White Cheddar Shells,,,,,,,,,,,,
Dairy,Milk,Fairlife Chocolate Milk,,,,,,,,,,,,,
Bakery,Muffins & Pastries,Gluten-Free Blueberry Muffins,,,,,,,,,,,,,
Pantry,Pasta,Chickpea Fusilli Pasta,,,,,,,,,,,,,
Pantry,Peanut Butter,Jif No Sugar Added Creamy Peanut Butter,,,,,,,,,,,,,
Dairy,Plant-Based Cheese,Daiya Mexican Blend Shreds,,,,,,,,,,,,,
Dairy,Plant-Based Milk,Chobani Extra Creamy Oatmilk,"Silk Organic Unsweet Soymilk, Half Gallon",,,,,,,,,,,,
Pantry,Popcorn,LesserEvil Popcorn,,,,,,,,,,,,,
Prepared Eating,Prepared Coffee,1 Caramel Macchiato,1 Iced Caramel Macchiato,,,,,,,,,,,,
Prepared Eating,Prepared Meals,1 Chicken N French Toast,1 Frenchy Plate,,,,,,,,,,,,
Dessert,Refrigerated Dough,Sweet Loren's Gluten Free Brownie Cookie Dough,,,,,,,,,,,,,
Pantry,Rice & Grains,Mahatma Jasmine Rice,,,,,,,,,,,,,
NA,Rice Cakes & Crisps,Quaker Rice Crisps Apple Cinnamon,Quaker Rice Crisps Chocolate,,,,,,,,,,,,
Pantry,Salad Dressing,Vinaigrette Dressing,,,,,,,,,,,,,
Produce,Salad Kits,Publix Makoto Ginger Salad,Publix True Bleu Salad Kit,Taylor Farms Chopped Caesar Salad Kit,Taylor Farms Everything Chopped Salad Kit,,,,,,,,,,
Condiments & Seasonings,Sauces & Condiments,Cholula Cremosa Cilantro Lime Sauce,,,,,,,,,,,,,
Condiments & Seasonings,Seasonings & Spices,Lawry's Garlic Salt,McCormick Everything Bagel Seasoning,McCormick Sea Salt Grinder,,,,,,,,,,,
NA,Smoked Seafood,Smoked Salmon with Pepper,,,,,,,,,,,,,
Pantry,Snack Bars,Fruit & Grain Bars,Nature's Bakery Gluten-Free Raspberry Fig Bars,,,,,,,,,,,,
Dessert,Snack Cakes,Little Debbie Cosmic Brownies,,,,,,,,,,,,,
Dairy,Specialty Cheese,Feta Cheese Crumbles,Goat Cheese Logs,,,,,,,,,,,,
"Toiletries, Cleaning and Disposables",Storage & Organization,Collapsible Storage Container/Bin,,,,,,,,,,,,,
Wine,Wine,Häagen-Dazs Blackberry Ice Cream,Magen David Blackberry Wine,,,,,,,,,,,,
Office Supplies,Writing Supplies,"Gel Pens, 3-Pack",,,,,,,,,,,,,
Dairy,Yogurt,"Chobani Greek Yogurt 4-Pack, Hero Batch","Chobani Protein Greek Yogurt Drink, Strawberries & Cream",Chobani Vanilla Mixed Berry Greek Yogurt,"Stonyfield Organic YoBaby Yogurt Pouch, Banana","Stonyfield Organic YoBaby Yogurt Pouch, Peach",,,,,,,,,
